"pais","toneladas_metricas_co2","region"
"Afghanistan","7,893,000.0","South Asia"
"Albania","3,794,000.0","Europe"
"Algeria","151,633,000.0","Africa"
"American Samoa","355,000.0","Australia and Oceania"
"Angola","19,362,000.0","Africa"
"Antarctica","28,000.0","Antarctica"
"Antigua and Barbuda","729,000.0","Central America and the Caribbean"
"Argentina","193,205,000.0","South America"
"Armenia","6,354,000.0","Middle East"
"Aruba","1,254,000.0","Central America and the Caribbean"
"Australia","417,870,000.0","Australia and Oceania"
"Austria","65,540,000.0","Europe"
"Azerbaijan","35,389,000.0","Middle East"
"Bahamas, The","3,984,000.0","Central America and the Caribbean"
"Bahrain","43,112,000.0","Middle East"
"Bangladesh","96,180,000.0","South Asia"
"Barbados","1,703,000.0","Central America and the Caribbean"
"Belarus","54,695,000.0","Europe"
"Belgium","128,247,000.0","Europe"
"Belize","541,000.0","Central America and the Caribbean"
"Benin","6,903,000.0","Africa"
"Bermuda","796,000.0","North America"
"Bhutan","934,000.0","South Asia"
"Bolivia","17,786,000.0","South America"
"Bosnia and Herzegovina","16,209,000.0","Europe"
"Botswana","5,965,000.0","Africa"
"Brazil","456,670,000.0","South America"
"British Virgin Islands","173,000.0","Central America and the Caribbean"
"Brunei","9,956,000.0","East and Southeast Asia"
"Bulgaria","38,373,000.0","Europe"
"Burkina Faso","4,444,000.0","Africa"
"Burma","31,848,000.0","East and Southeast Asia"
"Burundi","715,000.0","Africa"
"Cabo Verde","1,002,000.0","Africa"
"Cambodia","13,844,000.0","East and Southeast Asia"
"Cameroon","7,105,000.0","Africa"
"Canada","612,084,000.0","North America"
"Cayman Islands","808,000.0","Central America and the Caribbean"
"Central African Republic","285,000.0","Africa"
"Chad","1,771,000.0","Africa"
"Chile","88,333,000.0","South America"
"China","10,773,248,000.0","East and Southeast Asia"
"Colombia","81,007,000.0","South America"
"Comoros","326,000.0","Africa"
"Congo, Democratic Republic of the","2,653,000.0","Africa"
"Congo, Republic of the","4,523,000.0","Africa"
"Cook Islands","114,000.0","Australia and Oceania"
"Costa Rica","8,115,000.0","Central America and the Caribbean"
"Cote d'Ivoire","11,880,000.0","Africa"
"Croatia","16,752,000.0","Europe"
"Cuba","16,478,000.0","Central America and the Caribbean"
"Cyprus","8,024,000.0","Europe"
"Czechia","99,533,000.0","Europe"
"Denmark","33,850,000.0","Europe"
"Djibouti","610,000.0","Africa"
"Dominica","182,000.0","Central America and the Caribbean"
"Dominican Republic","26,808,000.0","Central America and the Caribbean"
"Ecuador","36,051,000.0","South America"
"Egypt","235,137,000.0","Africa"
"El Salvador","7,632,000.0","Central America and the Caribbean"
"Equatorial Guinea","4,528,000.0","Africa"
"Eritrea","798,000.0","Africa"
"Estonia","4,924,000.0","Europe"
"Eswatini","1,224,000.0","Africa"
"Ethiopia","16,798,000.0","Africa"
"Falkland Islands (Islas Malvinas)","46,000.0","South America"
"Faroe Islands","870,000.0","Europe"
"Fiji","1,691,000.0","Australia and Oceania"
"Finland","41,996,000.0","Europe"
"France","338,425,000.0","Europe"
"French Polynesia","1,030,000.0","Australia and Oceania"
"Gabon","2,651,000.0","Africa"
"Gambia, The","606,000.0","Africa"
"Gaza Strip","3,341,000.0","Middle East"
"Georgia","10,299,000.0","Middle East"
"Germany","726,881,000.0","Europe"
"Ghana","18,093,000.0","Africa"
"Gibraltar","14,256,000.0","Europe"
"Greece","70,163,000.0","Europe"
"Greenland","605,000.0","North America"
"Grenada","316,000.0","Central America and the Caribbean"
"Guam","1,828,000.0","Australia and Oceania"
"Guatemala","19,041,000.0","Central America and the Caribbean"
"Guinea","2,981,000.0","Africa"
"Guinea-Bissau","342,000.0","Africa"
"Guyana","2,743,000.0","South America"
"Haiti","3,139,000.0","Central America and the Caribbean"
"Honduras","8,523,000.0","Central America and the Caribbean"
"Hong Kong","92,493,000.0","East and Southeast Asia"
"Hungary","48,589,000.0","Europe"
"Iceland","3,337,000.0","Europe"
"India","2,314,738,000.0","South Asia"
"Indonesia","563,543,000.0","East and Southeast Asia"
"Iran","646,038,000.0","Middle East"
"Iraq","143,479,000.0","Middle East"
"Ireland","35,475,000.0","Europe"
"Israel","61,092,000.0","Middle East"
"Italy","332,041,000.0","Europe"
"Jamaica","10,002,000.0","Central America and the Caribbean"
"Japan","1,103,234,000.0","East and Southeast Asia"
"Jersey","450,000.0","Europe"
"Jordan","23,470,000.0","Middle East"
"Kazakhstan","263,689,000.0","Central Asia"
"Kenya","17,709,000.0","Africa"
"Kiribati","76,000.0","Australia and Oceania"
"Korea, North","18,465,000.0","East and Southeast Asia"
"Korea, South","686,954,000.0","East and Southeast Asia"
"Kosovo","8,009,000.0","Europe"
"Kuwait","92,582,000.0","Middle East"
"Kyrgyzstan","7,880,000.0","Central Asia"
"Laos","40,726,000.0","East and Southeast Asia"
"Latvia","8,450,000.0","Europe"
"Lebanon","25,838,000.0","Middle East"
"Lesotho","736,000.0","Africa"
"Liberia","1,346,000.0","Africa"
"Libya","38,297,000.0","Africa"
"Lithuania","14,503,000.0","Europe"
"Luxembourg","11,308,000.0","Europe"
"Macau","2,012,000.0","East and Southeast Asia"
"Madagascar","4,218,000.0","Africa"
"Malawi","1,542,000.0","Africa"
"Malaysia","254,764,000.0","East and Southeast Asia"
"Maldives","2,286,000.0","South Asia"
"Mali","5,679,000.0","Africa"
"Malta","9,576,000.0","Europe"
"Marshall Islands","293,700.0","Australia and Oceania"
"Mauritania","4,041,000.0","Africa"
"Mauritius","7,191,000.0","Africa"
"Mexico","463,739,000.0","North America"
"Micronesia, Federated States of","177,000.0","Australia and Oceania"
"Moldova","8,114,000.0","Europe"
"Mongolia","22,740,000.0","East and Southeast Asia"
"Montenegro","2,447,000.0","Europe"
"Montserrat","33,000.0","Central America and the Caribbean"
"Morocco","60,200,000.0","Africa"
"Mozambique","7,753,000.0","Africa"
"Namibia","3,831,000.0","Africa"
"Nauru","66,000.0","Australia and Oceania"
"Nepal","7,708,000.0","South Asia"
"Netherlands","214,416,000.0","Europe"
"New Caledonia","5,886,000.0","Australia and Oceania"
"New Zealand","40,344,000.0","Australia and Oceania"
"Nicaragua","4,851,000.0","Central America and the Caribbean"
"Niger","2,374,000.0","Africa"
"Nigeria","104,494,000.0","Africa"
"Niue","8,000.0","Australia and Oceania"
"North Macedonia","7,383,000.0","Europe"
"Northern Mariana Islands","0.0","Australia and Oceania"
"Norway","36,731,000.0","Europe"
"Oman","76,321,000.0","Middle East"
