"pais","valores","region"
"Afghanistan",54.05,"South Asia"
"Albania",79.7,"Europe"
"Algeria",78.27,"Africa"
"American Samoa",75.58,"Australia and Oceania"
"Andorra",83.61,"Europe"
"Angola",62.51,"Africa"
"Anguilla",82.41,"Central America and the Caribbean"
"Antigua and Barbuda",78.04,"Central America and the Caribbean"
"Argentina",78.55,"South America"
"Armenia",76.4,"Middle East"
"Aruba",78.25,"Central America and the Caribbean"
"Australia",83.28,"Australia and Oceania"
"Austria",82.48,"Europe"
"Azerbaijan",74.42,"Middle East"
"Bahamas, The",76.38,"Central America and the Caribbean"
"Bahrain",80.13,"Middle East"
"Bangladesh",74.96,"South Asia"
"Barbados",78.79,"Central America and the Caribbean"
"Belarus",74.54,"Europe"
"Belgium",82.06,"Europe"
"Belize",76.08,"Central America and the Caribbean"
"Benin",62.6,"Africa"
"Bermuda",82.25,"North America"
"Bhutan",73.01,"South Asia"
"Bolivia",72.5,"South America"
"Bosnia and Herzegovina",78.22,"Europe"
"Botswana",66.04,"Africa"
"Brazil",76.1,"South America"
"British Virgin Islands",79.9,"Central America and the Caribbean"
"Brunei",78.61,"East and Southeast Asia"
"Bulgaria",75.83,"Europe"
"Burkina Faso",63.82,"Africa"
"Burma",70.21,"East and Southeast Asia"
"Burundi",67.77,"Africa"
"Cabo Verde",74.02,"Africa"
"Cambodia",71.03,"East and Southeast Asia"
"Cameroon",63.74,"Africa"
"Canada",83.99,"North America"
"Cayman Islands",82.25,"Central America and the Caribbean"
"Central African Republic",55.96,"Africa"
"Chad",59.57,"Africa"
"Chile",80.02,"South America"
"China",78.23,"East and Southeast Asia"
"Colombia",74.89,"South America"
"Comoros",67.5,"Africa"
"Congo, Democratic Republic of the",62.23,"Africa"
"Congo, Republic of the",62.51,"Africa"
"Cook Islands",77.39,"Australia and Oceania"
"Costa Rica",79.87,"Central America and the Caribbean"
"Cote d'Ivoire",62.71,"Africa"
"Croatia",77.47,"Europe"
"Cuba",79.87,"Central America and the Caribbean"
"Curacao",79.65,"Central America and the Caribbean"
"Cyprus",79.96,"Europe"
"Czechia",79.96,"Europe"
"Denmark",81.87,"Europe"
"Djibouti",65.61,"Africa"
